Qty,Value,Device,Package,Parts,MPN
1,0,RESISTOR_0402,R0402,R9,ERJ-2GE0R00X
4,0.01u,CAPACITOR_NP_0402,C0402,"C2, C3, C13, C14",CL05B103KB5NNNC
1,0.022u,CAPACITOR_NP_0402,C0402,C4,CL05B223KB5VPNC
10,0.1u,CAPACITOR_NP_0402,C0402,"C7, C15, C18, C19, C20, C24, C25, C26, C27, C28",GCM155R71H104KE02D
1,0.1u,CAPACITOR_NP_0402,C0402,C31,GCM155R71H104KE02D
1,0.22u,CAPACITOR_NP_0402,C0402,C1,CL05B224KA5VPNC
1,0.47u,CAPACITOR_NP_0402,C0402,C5,CL05A474KA5NNNC
1,100u,CAPACITOR_P_6.3MM,CP6.3MM,C6,MAL218297603E3
1,10k,RESISTOR_0402,R0402,R2,ERJ-2RKF1002X
4,10u,CAPACITOR_NP_0805,C0805,"C21, C22, C29, C30",CL21A106KAYNNNE
1,120,RESISTOR_0402,R0402,R8,ERJ-2GEJ121X
1,150,RESISTOR_0805,R0805,R15,ERJ-6GEYJ151V
3,1k,RESISTOR_0402,R0402,"R1, R3, R12",ERJ-2RKF1001X
1,1u,CAPACITOR_NP_0402,C0402,C23,CL05A105KA5NQNC
2,1u,CAPACITOR_NP_0805,C0805,"C16, C17",CL21B105KAFNNNE
1,20MHz,RESONATORCSTNE,CSTNE,Q2,CSTNE20M0V53C000R0
4,4.7k,RESISTOR_0402,R0402,"R11, R13, R14, R16",ERJ-2RKF4701X
2,768250004CON_768250004_MOL,768250004CON_768250004_MOL,CON_768250004_MOL,"J1, J2",768250004
1,CHOKE-COMMON_MODECM1210-LAIRD,CHOKE-COMMON_MODECM1210-LAIRD,CM1210-LAIRD,CH1,CM1210B104R-1A
1,DIODESSOD-523,DIODESSOD-523,SOD523,D1,RB510SM-40FHT2R
2,DNP,RESISTOR_0402,R0402,"R4, R10",
1,DRV8434SPWPR,DRV8434SPWPR,HTSSOP(PWP)-28,U1,DRV8434SPWPR
1,F280025CPMSRIC64_F280025CPMSR_TEX,F280025CPMSRIC64_F280025CPMSR_TEX,IC64_F280025CPMSR_TEX,U4,F280025CPMSR
1,Green,LED_SINGLE-0603,LED0603,D3,SML-E12P8WT86
4,MF-CON-2.54mm-01x02,CON_01X02_PTH_2.54MM,PTH_2.54MM_01X02,"J4, J5, J6, J7",MF-CON-2.54mm-01x02
1,MF-CON-2.54mm-01x03,CON_01X03_PTH_2.54MM,PTH_2.54MM_01X03,J3,MF-CON-2.54mm-01x03
1,MF-REG-SOT235-3.3V-300mA,TLV70233PDBVR,SOT-23-5,U6,TLV70233PDBVR
3,MOUNT-HOLE3.0,MOUNT-HOLE3.0,"3,0","H1, H2, H3",
1,SN74LVC1G07DCKR,SN74LVC1G07DCKR,SOT65P210X110-5N,U5,SN74LVC1G07DCKR
1,TCAN1164,TCAN1164,CONV_TPS63021DSJ,U2,TCAN1164DMTRQ1
1,TI-JTAG-CTI-20,TI-JTAG-CTI-20,FTR-110-51-L-D-06,CON3,FTR-110-51-L-D-06
